"Commit";"PureRefactoring"
"21710f55f38f61e5f32a83914b978e3bea6dd261";-1
"ddfd170ea89e25014a82c8e081897b7a68a1aa46";-1
"1d088c5eae722b004682f0187c38fbc676780883";-1
"9f196bafe904c8125a59f22d9db82f9949bcc33f";1
"2e475c35ccf8037d3259d68c0d66cece83946dbe";-1
"e2b792335b808839b32aa18e5bab683aa0fd5cdf";-1
"9110cfd923e8fd211a8e144fad789b9353d58d41";-1
"96837f908ec15b643964a1e44bb4fe576b6ddea4";-1
"b71434acf6908a434c2a1c51ec3e6c67ab9dd078";-1
"effc65b7770f1f32b19561c02cc311d038638c95";-1
"c48e2482835cb723830ff2a9b0ab8c97e4880312";-1
"b051613b624ab3d887a5ca0444950a0a14769ba3";-1
"db0b685ae1ac180dfdbce4c23de742af7fe936df";-1
"943bde7eed155aeece0a0622246012480a706c7a";-1
"9701af07364d2dc7f3214f12dcf5b598a8edc65e";-1
"f05515d7d60b65b9e8e881ed86d2c62c0b55b006";-1
"2db9224ffcb0183c0bcde50dad685a24660d4b74";-1
"174d21fd4e26872c260e671db78f243a42443e24";0
"c2ed6d47f1584faf876e416a9bf24400f205d5d7";0
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";0
"3ecb47da5a9fb594ff787680c1420e40a314aff4";1
"ee4eb9bb079180c12efdc03520949ca40bbd7318";1
"bb5244c11851a291d7155b150c4995c76c7cf788";-1
"8f85637bb8f526e8a438c82eccbbd2aa21e4213e";-1
"5fe5b9713054d55c2a0965fde605cf9c59018cb6";-1
"3dd4f140e294e188e4f7f485c112a3c4bba684ae";-1
"1131d7064562c52895de4886e57943ead2df8e6b";-1
"60c64ce900cd005641f4c8236770cf091011c64e";-1
"d361d689e840a45290af859428e058a33bb35576";-1
"ef4dfe2ff5605faf3aacf6515a2af40cea390cb6";-1
"f0f1a7f87b29cb2195e3d38cfb1ed0b45fd0d777";-1
"beaf39c8e6c98efebf9ec8db2e421d6660cbe570";-1
"d3dd084dd74f0d65bc5a5854c266e1f6a58dbc96";-1
"9b3b43f0425caae993c0e2a2ea168149eec34cdb";-1
"285baaafb7cb7d39a1df82771860e2400285854d";-1
"1239725083aa039118a181b4f1f681ac03565a8c";-1
"e90425778fd5984c8b674d2cf69baa48cbcbee81";-1
"c4bb8da746ca9b1b7965c3f5c3e2a0c320254ad6";-1
"9b53e2b0fb0d3ed93c9bcaa63f116b89b177317c";-1
"e6a091d351ab5cdadf2785778105ad3a26bf9637";-1
"cc1248f35073917318626f2fffdd1444df699f9c";-1
"ddd65f69bf81a562b8d7562298e6259031b15d53";-1
"17a1783789f9275f702b1529546d38050c1354db";-1
"2baa2bbfe56b6d9e3f9e1a4907929c5585941ebb";-1
"3572c0344ecab03e92993dc3e0d8ef7c1a9f4a70";-1
"ec163da9dbca9e176f15db35e4570b3efa56928a";-1
"dbe7b48a04c54f22655bece3d30fb27c3b83124b";-1
"2ba1614f1d8a22eff0ecc9aa719ea58132163dd1";0
"63349d6e14f9bc1d52c3b434dbb99c3360ce012c";0
"47b9f49831d2c6088c71e47d52673c384a89f969";0
"f04b24796c7650083b726b0fadef37f1af424eff";0
"5b847d1ba9fc94f6bc759162e7b2892dd24fd86a";0
"c2b39928186307a87ab8d720f5dbec675dd1a866";0
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";0
"5569fcca40eed56503f30c07a538392f0cfbbff0";0
"badc8305355c9b8119691106ccd20a0b42f398a9";0
"c5147360d8aa005425e38190a154c96eb9eed278";0
"b11fd7897d7e47c302858c725bd608c542df73ce";0
"868016865a8f041589132792485df9ea4a907f4d";0
"ef618c1e1390fdcad51f9c4f65a74ba8e04be9b1";0
"5dcc923cf1daedac236221e1f2cab473a0997e43";0
"2d40c4292c414e31ac92e4c69ff49d35e2831b9c";0
"cfb1e550bc2f5886bf76858b82daadbb2101936f";0
"56ba907ec5546fb944926f7d24283dd5d7d71997";0
"50585b3ff9e46ab27df38205763951d60768d986";0
"effa009241a4140c96efc152933acd695ca2c514";0
"faaf18f5cf64f41cef0c674f6a4750e9df6ae186";1
"c1db200c546e3318d436876efc68b613a01b00a7";1
"e10f25c601e6cb08f591f3b0ce220546d937ecfc";1
"af109ccf5c350cef551c2c473ad1a51546adbdc7";-1
"715dc8783f488058c2c5d8ad5d449585d46e1d7e";1
"ef3508f3939fc5b453a2cfe7bdead0e566b389ab";1
"3ab8abe5bdd97e897c8b3948b33d9d1e30b4335d";1
"6c544237b2ff95212939c790e8c4b9b7757616c3";1
"5be7c487ad2fceec69dbef125f0346344a65f5cd";-1
"8f7709b6c4935b0985f9439868aa401982666056";-1
"8fed8ea8a3252de6d420a2c4d24fd2aed31dcf99";-1
"281ff6d88301d8c70432725ab5e98527934c7be2";-1
"38233be8615a553a3843c4d4c1a88f8007eaeb53";-1
"5b5ad242e0e183689711bc77bf89abdfdc9e5c53";-1
"4b49625a8fb6cf50bbf8ade42755eab6ce8b2721";-1
"70b6fd1fd3b704355b9528c03ac43d181ee8ae98";-1
"84f055b67aa8c00156d2da01a574fc142d285e20";-1
"581c7bc070f4ed7b3d23a78e0e5188189944d43c";-1
"ae4cd0b5e1e7690a4d0f3c846b0572eef97f7edf";-1
"e6a0247bf12e9e716002942da2338e268990c0f8";-1
"99ce880fe047c0f3c4c0931e0715ebf62b4b2bc8";-1
"cf7d4cce9cd2f10585f87efdb00a51a5528a31fa";-1
"642661a926b980f9a4a7bf8033f9ecd7091dac72";-1
"3691dcd98fbc263c76f10e674daf0ad042240406";-1
"4cb77f5a73769377b47ddef3d106cd2f3c00984c";-1
"81cbb541b802c641e84973c43b5814efa4e54426";-1
"5cafcdf2d877344551b27de58b321de3333ac91b";-1
"578583da59cd330ed58f583973684c92b9b7ae9e";-1
"b4d4015f4b484f08b0d0f559d8cebe7f7581bf25";-1
"0d83bd19d085e80d1becf34607e434eda372317c";-1
"e5e40dac2368cf5d92c70cfb9c16286da1973309";-1
"9da424a9f024a497735908b9678e481c1608d639";-1
"fa83a6a9031e8cbbf221d6c8748764cf856c2940";-1
"0443fbf26724ef4bfd2581e0be64254ad78f5410";-1
"0b1241ebf9874e8b6d591ddb1aba3291e2eec264";1
"f0ac0d1722daa02b522d28ce20efb49a4808ff7d";-1
"4df1e7f72214e073df6a42038927eb5ad7e3200c";-1
"b94085991d8fc76f99d5225394c554fd5afc2969";1
"7e105ff7bb26a1192a35183931bcae2c0818d911";0
"87000b0e116e7284e49a37e981b08d3148dea5e9";1
"bb3431a5102ccd24197b633497cf36c8d2c0f511";1
